scenario_id,country,gold,story_words,rot_words,cluster,mean_correct,qwen7_gemma4::gemma4,qwen7_gemma4::qwen7,qwen7_ollama_llama3_8b::ollama_llama3_8b,qwen7_ollama_llama3_8b::qwen7,qwen7_qwen15::qwen15,qwen7_qwen15::qwen7,single_gemma4::gemma4,single_ollama_llama3_8b::ollama_llama3_8b,single_qwen7::qwen
04f76103b0d93d83,netherlands,yes,31,11,2,0.8888888888888888,1,1,1,1,1,1,1,1,0
050ad349219674c1,ethiopia,no,38,15,4,0.625,1,1,1,1,0,1,0,-1,0
052d242f4e23a9e2,romania,no,59,33,4,0.625,1,1,1,1,0,1,0,-1,0
0530464c59572c87,new_zealand,no,36,17,4,0.75,1,1,1,1,0,1,0,-1,1
0537dd2f2bbc24c1,cyprus,neutral,44,17,3,0.25,0,0,0,0,1,0,0,-1,1
054411be0fc9da97,india,no,40,11,4,0.625,1,1,1,1,0,1,0,-1,0
054f4edb179892b4,venezuela,neutral,42,19,3,0.125,0,0,0,0,1,0,0,-1,0
055c261473bdf1c3,mauritius,neutral,27,13,3,0.25,0,0,0,0,0,0,1,-1,1
0573e2d1a728f0b6,iran,yes,55,14,2,0.8888888888888888,1,1,1,1,1,1,1,0,1
05772f2127569827,ukraine,no,29,15,4,0.5,0,1,1,1,0,1,0,-1,0
05a60fe68e14d109,japan,yes,57,24,2,1.0,1,1,1,1,1,1,1,1,1
